entry_time,exit_time,entry_price,exit_price,direction,net_pnl,fee,qty,exit_reason
2025-08-01 14:00:00,2025-08-01 15:00:00,3342.286,3343.988,BUY,15.419999999997708,1.6,10,新信号平仓
2025-08-01 15:00:00,2025-08-04 13:00:00,3345.958,3368.623,BUY,225.04999999999964,1.6,10,新信号平仓
2025-08-04 13:00:00,2025-08-05 15:46:00,3367.87,3388.49,SELL,-207.7999999999989,1.6,10,止损
2025-08-07 13:00:00,2025-08-07 14:00:00,3380.78,3383.514,BUY,25.739999999999235,1.6,10,新信号平仓
2025-08-07 14:00:00,2025-08-07 15:00:00,3384.887,3387.872,BUY,28.249999999996724,1.6,10,新信号平仓
2025-08-07 15:00:00,2025-08-07 23:00:00,3387.893,3406.229,SELL,-184.95999999999785,1.6,10,新信号平仓
2025-08-07 23:00:00,2025-08-11 01:00:00,3405.235,3379.42,SELL,256.5500000000005,1.6,10,止盈
2025-08-11 02:00:00,2025-08-11 03:00:00,3377.547,3377.242,SELL,1.4499999999983628,1.6,10,新信号平仓
2025-08-11 03:00:00,2025-08-11 11:25:00,3377.233,3352.106,SELL,249.66999999999953,1.6,10,止盈
2025-08-11 13:00:00,2025-08-11 14:00:00,3356.842,3357.62,SELL,-9.379999999997926,1.6,10,新信号平仓
2025-08-11 14:00:00,2025-08-12 12:00:00,3358.682,3347.81,SELL,107.11999999999844,1.6,10,新信号平仓
2025-08-12 12:00:00,2025-08-13 14:03:00,3347.526,3368.425,SELL,-210.5900000000034,1.6,10,止损
2025-08-15 13:00:00,2025-08-19 14:00:00,3342.741,3334.122,SELL,84.59000000000142,1.6,10,新信号平仓
2025-08-19 14:00:00,2025-08-22 14:06:00,3334.229,3355.361,SELL,-212.9200000000006,1.6,10,止损
2025-08-26 08:00:00,2025-08-27 16:48:00,3376.795,3398.226,SELL,-215.9100000000004,1.6,10,止损
2025-09-01 07:00:00,2025-09-01 08:00:00,3479.274,3477.884,BUY,-15.499999999998726,1.6,10,新信号平仓
2025-09-01 08:00:00,2025-09-02 01:34:00,3477.948,3497.951,SELL,-201.63000000000156,1.6,10,止损
2025-09-02 09:00:00,2025-09-02 14:08:00,3477.697,3498.014,SELL,-204.77000000000007,1.6,10,止损
2025-09-03 13:00:00,2025-09-03 14:00:00,3550.532,3557.241,SELL,-68.68999999999832,1.6,10,新信号平仓
2025-09-03 14:00:00,2025-09-04 01:00:00,3553.797,3561.589,BUY,76.31999999999917,1.6,10,新信号平仓
2025-09-04 01:00:00,2025-09-04 02:45:00,3561.629,3536.57,SELL,248.98999999999742,1.6,10,止盈
2025-09-04 04:00:00,2025-09-04 12:15:00,3529.244,3549.601,SELL,-205.1699999999997,1.6,10,止损
2025-09-04 14:00:00,2025-09-04 15:00:00,3546.585,3545.207,BUY,-15.380000000001564,1.6,10,新信号平仓
2025-09-04 15:00:00,2025-09-05 12:30:00,3546.037,3574.16,SELL,-282.8300000000005,1.6,10,止损
2025-09-05 15:00:00,2025-09-05 16:00:00,3590.165,3591.592,SELL,-15.870000000001346,1.6,10,新信号平仓
2025-09-05 16:00:00,2025-09-08 07:39:00,3592.108,3613.213,SELL,-212.65000000000018,1.6,10,止损
2025-09-08 09:00:00,2025-09-08 13:53:00,3611.34,3636.546,BUY,250.45999999999677,1.6,10,止盈
2025-09-09 13:00:00,2025-09-09 15:17:00,3647.597,3627.336,BUY,-204.21000000000421,1.6,10,止损
2025-09-09 16:00:00,2025-09-10 20:00:00,3645.468,3641.611,SELL,36.96999999999971,1.6,10,新信号平仓
2025-09-10 20:00:00,2025-09-11 09:15:00,3641.926,3615.287,SELL,264.7900000000012,1.6,10,止盈
2025-09-11 14:00:00,2025-09-11 15:00:00,3630.268,3630.893,SELL,-7.85,1.6,10,新信号平仓
2025-09-11 15:00:00,2025-09-12 04:27:00,3629.671,3654.829,BUY,249.98000000000357,1.6,10,止盈
2025-09-12 13:00:00,2025-09-15 15:23:00,3645.455,3666.094,SELL,-207.99000000000123,1.6,10,止损
2025-09-17 06:00:00,2025-09-17 18:09:00,3679.29,3705.325,BUY,258.7499999999985,1.6,10,止盈
2025-09-19 02:00:00,2025-09-19 14:31:00,3639.938,3665.075,BUY,249.76999999999717,1.6,10,止盈
2025-09-22 02:00:00,2025-09-22 06:40:00,3689.324,3714.655,BUY,251.71000000000132,1.6,10,止盈
2025-09-22 13:00:00,2025-09-22 14:00:00,3721.682,3720.714,SELL,8.079999999998472,1.6,10,新信号平仓
2025-09-22 14:00:00,2025-09-22 17:30:00,3722.378,3743.237,SELL,-210.18999999999923,1.6,10,止损
2025-09-23 14:00:00,2025-09-23 17:00:00,3783.937,3779.625,SELL,41.51999999999898,1.6,10,新信号平仓
2025-09-23 17:00:00,2025-09-23 19:15:00,3779.33,3754.122,SELL,250.48000000000084,1.6,10,止盈
