entry_time,exit_time,entry_price,exit_price,direction,net_pnl,fee,qty,exit_reason
2025-08-01 14:00:00,2025-08-01 15:00:00,3342.286,3343.988,BUY,15.419999999997708,1.6,10,新信号平仓
2025-08-01 15:00:00,2025-08-04 13:00:00,3345.958,3368.623,BUY,225.04999999999964,1.6,10,新信号平仓
2025-08-04 13:00:00,2025-08-07 13:00:00,3367.87,3383.052,SELL,-153.42000000000243,1.6,10,新信号平仓
2025-08-07 13:00:00,2025-08-07 14:00:00,3380.78,3383.514,BUY,25.739999999999235,1.6,10,新信号平仓
2025-08-07 14:00:00,2025-08-07 15:00:00,3384.887,3387.872,BUY,28.249999999996724,1.6,10,新信号平仓
2025-08-07 15:00:00,2025-08-07 23:00:00,3387.893,3406.229,SELL,-184.95999999999785,1.6,10,新信号平仓
2025-08-07 23:00:00,2025-08-11 01:07:00,3405.235,3374.66,SELL,304.1500000000027,1.6,10,止盈
2025-08-11 02:00:00,2025-08-11 03:00:00,3377.547,3377.242,SELL,1.4499999999983628,1.6,10,新信号平仓
2025-08-11 03:00:00,2025-08-11 12:30:00,3377.233,3345.447,SELL,316.26000000000056,1.6,10,止盈
2025-08-11 13:00:00,2025-08-11 14:00:00,3356.842,3357.62,SELL,-9.379999999997926,1.6,10,新信号平仓
2025-08-11 14:00:00,2025-08-12 12:00:00,3358.682,3347.81,SELL,107.11999999999844,1.6,10,新信号平仓
2025-08-12 12:00:00,2025-08-15 13:00:00,3347.526,3345.056,SELL,23.099999999997998,1.6,10,新信号平仓
2025-08-15 13:00:00,2025-08-19 14:00:00,3342.741,3334.122,SELL,84.59000000000142,1.6,10,新信号平仓
2025-08-19 14:00:00,2025-08-22 14:47:00,3334.229,3374.285,SELL,-402.1600000000004,1.6,10,止损
2025-08-26 08:00:00,2025-08-28 16:32:00,3376.795,3416.904,SELL,-402.68999999999926,1.6,10,止损
2025-09-01 07:00:00,2025-09-01 08:00:00,3479.274,3477.884,BUY,-15.499999999998726,1.6,10,新信号平仓
2025-09-01 08:00:00,2025-09-02 09:00:00,3477.948,3478.734,SELL,-9.460000000000582,1.6,10,新信号平仓
2025-09-02 09:00:00,2025-09-02 15:47:00,3477.697,3517.778,SELL,-402.4099999999968,1.6,10,止损
2025-09-03 13:00:00,2025-09-03 14:00:00,3550.532,3557.241,SELL,-68.68999999999832,1.6,10,新信号平仓
2025-09-03 14:00:00,2025-09-04 01:00:00,3553.797,3561.589,BUY,76.31999999999917,1.6,10,新信号平仓
2025-09-04 01:00:00,2025-09-04 02:49:00,3561.629,3531.063,SELL,304.059999999998,1.6,10,止盈
2025-09-04 04:00:00,2025-09-04 14:00:00,3529.244,3542.146,SELL,-130.62000000000043,1.6,10,新信号平仓
2025-09-04 14:00:00,2025-09-04 15:00:00,3546.585,3545.207,BUY,-15.380000000001564,1.6,10,新信号平仓
2025-09-04 15:00:00,2025-09-05 12:40:00,3546.037,3586.442,SELL,-405.650000000002,1.6,10,止损
2025-09-05 15:00:00,2025-09-05 16:00:00,3590.165,3591.592,SELL,-15.870000000001346,1.6,10,新信号平仓
2025-09-05 16:00:00,2025-09-08 09:00:00,3592.108,3609.888,SELL,-179.39999999999745,1.6,10,新信号平仓
2025-09-08 09:00:00,2025-09-08 15:00:00,3611.34,3641.951,BUY,304.50999999999874,1.6,10,止盈
2025-09-09 13:00:00,2025-09-09 16:00:00,3647.597,3646.544,BUY,-12.130000000003383,1.6,10,新信号平仓
2025-09-09 16:00:00,2025-09-10 20:00:00,3645.468,3641.611,SELL,36.96999999999971,1.6,10,新信号平仓
2025-09-10 20:00:00,2025-09-11 14:00:00,3641.926,3630.011,SELL,117.54999999999964,1.6,10,新信号平仓
2025-09-11 14:00:00,2025-09-11 15:00:00,3630.268,3630.893,SELL,-7.85,1.6,10,新信号平仓
2025-09-11 15:00:00,2025-09-12 13:00:00,3629.671,3644.664,BUY,148.33000000000393,1.6,10,新信号平仓
2025-09-12 13:00:00,2025-09-16 00:57:00,3645.455,3686.67,SELL,-413.7500000000015,1.6,10,止损
2025-09-17 06:00:00,2025-09-18 06:10:00,3679.29,3634.789,BUY,-446.6099999999975,1.6,10,止损
2025-09-19 02:00:00,2025-09-19 15:12:00,3639.938,3670.429,BUY,303.30999999999983,1.6,10,止盈
2025-09-22 02:00:00,2025-09-22 06:49:00,3689.324,3719.857,BUY,303.729999999999,1.6,10,止盈
2025-09-22 13:00:00,2025-09-22 14:00:00,3721.682,3720.714,SELL,8.079999999998472,1.6,10,新信号平仓
2025-09-22 14:00:00,2025-09-23 08:31:00,3722.378,3762.574,SELL,-403.55999999999915,1.6,10,止损
2025-09-23 14:00:00,2025-09-23 17:00:00,3783.937,3779.625,SELL,41.51999999999898,1.6,10,新信号平仓
2025-09-23 17:00:00,2025-09-24 15:31:00,3779.33,3748.664,SELL,305.0599999999971,1.6,10,止盈
